"PCLZ117","PCLZ118","PCLZ119","PCLZ121","PCLZ122","PCLZ123","PCLZ124","PCLZ126","PCLZ127","PCLZ130","PCLZ131","PCLZ132","PCLZ133","PCLZ134","PCLZ135","PCLZ136","PCLZ137","PCLZ138","PCLZ139","PCLZ140","PCLZ141","PCLZ142","PCLZ143","PCLZ144","PCLZ145","PCLZ147","PCLZ148","PCLZ81","PCLZ82","PCLZ83","PCLZ84","PCLZ85","PCLZ87","PCLZ88","PCLZ89","PCLZ90","PCLZ92","PCLZ94","PCLZ95","PCLZ96","PCLZ97","PCLZ98","PCLZ100","PCLZ101","PCLZ102","PCLZ103","PCLZ104","PCLZ105","PCLZ106","PCLZ108","PCLZ109","PCLZ110","PCLZ111","PCLZ112","PCLZ113","PCLZ114","PCLZ115","PCLZ116"
"hsa-let-7a-3p",-2.66076339178491,1.08235304932139,0.729780422831114,-0.613326536381685,-0.503569964670583,-0.173181690738159,-1.09739492803555,-0.236669664381324,-1.00647020223094,0.0330227640080433,0.34200225751007,0.132687443250257,1.77309666824229,0.854452337093388,0.178556760774013,-0.641977473009827,-0.17243748637705,0.493448355442531,0.624728985644754,1.36803065116415,-0.291043050774201,1.54070977523618,0.974286076940509,0.744595299776343,-0.317585789373311,0.483720587834614,0.00745846796514654,-1.99511778145158,-2.35424485410734,-1.66403931838392,-1.881763258876,-0.982982613906389,-2.43515882775686,-0.596474752628629,1.27235737435676,0.696523239902155,1.28856393662722,0.446520890814453,0.140078168397142,1.05789773617222,1.25310963743163,-0.198573525520735,0.216336027297973,1.03757051129462,0.465838092915471,-0.662680162241353,0.705675497540443,0.474926741576495,0.726661325068242,-0.331370988604541,-0.675955102419568,-0.133634827221633,0.29433362848315,-0.00430908799993551,-0.481446895593632,0.54509736660751,0.341393326772021,0.485317892136819
"hsa-let-7a-5p",0.34114836516891,-0.0864365591591703,0.224362882864923,-0.422115442576912,0.35683205672412,0.15960010797337,-0.228193213587864,-0.000450824940390566,0.0408934547004801,0.401291071381049,-0.53436130590853,-0.347998672719062,-0.94047095811178,-0.099165926632995,0.316732005397919,0.599252673229021,0.1145959962413,-0.199168861473259,-0.0777436924307786,-0.277659632236617,-0.00365349078881701,-0.0723616630410593,-0.742575629704139,-0.142984211041622,0.349163517144832,0.121867573824938,0.297694344212361,0.181309939891257,0.559820874315218,0.21130653769795,-0.160952534110647,-0.295664344472522,0.248128986240789,0.0707411397769823,0.643306953376153,0.162532502246427,-0.30896233066515,-0.281611452337689,-0.118851191959867,-0.667742898831939,-0.0198896854969339,0.0999497288825407,0.294694209238233,-0.168833172262764,-0.0350703353928965,0.381384024740009,0.00734778221820652,0.0661820257170587,-0.429056644645543,-0.110307166633057,0.00232728188520567,-0.214300436247193,-0.152871648557748,0.234763720804863,0.035432171593162,-0.20782877181723,0.0476240253501537,-0.0211221060244265
"hsa-let-7b-3p",0.521464192046175,0.77250679830312,0.966121212902665,-0.396694535821587,0.092437645418068,-0.284586085796695,0.215507756031941,0.291747346249502,0.438856555611494,0.618663169608895,-0.521441412198605,-1.03123408635373,0.587160073669974,-0.446184426817687,-1.723457470019,0.342652690504535,-0.903029429815678,0.216832183451582,0.572575066396724,0.071900822070921,0.0269359583419326,0.13329149346298,0.312682399775183,-0.351752280630191,0.0498000119770959,0.00849709510891806,-0.485483901383245,-0.423350058961548,0.692491426680115,-0.565246073713835,0.454796513547403,0.745340979634177,0.233825413937366,0.247830120240189,0.875766918234784,-1.07773155346912,-0.203426732795284,0.0604331294761178,-0.36081548778981,-0.15388798977448,0.073926154264642,-0.254036721662641,-0.129637054979744,-0.158260095453025,-0.155363320322976,0.21803492555423,0.219235633790455,-0.636260406339753,-0.370699466346049,0.182613058420176,0.385053749787038,-0.348121174417305,-0.577075961385336,0.676444080266596,0.397030726617414,-0.384823352991035,0.126814552506607,0.428672455134733
"hsa-let-7b-5p",0.571140241445985,-0.0951556475493475,0.521978095973715,-0.563788748305621,0.642100198290881,0.204469996589713,-0.298196835624878,0.0426319386569558,0.402840387887341,0.260494192415819,-0.745624130857208,-0.206327597739247,-1.44513376480211,-0.0473259127582736,0.459165364347346,0.709882198665383,0.323360470223265,-0.254269841181423,0.0359364033379285,-0.368091651141947,0.493141967299463,-0.557112377667199,-0.86344274426166,0.04065034522434,0.752742494547838,-0.111438045707475,0.0886383951180718,0.306324775662603,0.778036289025239,0.16181452612772,0.16312069343802,0.113494884975966,0.420773448098386,0.329846053361686,0.847781172851382,0.076541371920214,-0.705645540889501,-0.54787060758585,-0.376639915316444,-0.918879380200653,-0.275054490537537,-0.320153593208914,0.0691350118110148,-0.583870521910324,0.00484754780401125,0.456135280682582,-0.239479381065117,-0.197163831206555,-0.666372727638707,-0.333082008361082,0.244653202773834,-0.283989834468663,-0.209471940210153,0.29992840770288,-0.126483313393683,-0.390708440282078,-0.0835101507297461,0.255323766331741
"hsa-let-7c-5p",0.183085802144691,-0.639208693748136,0.0731846925387218,-0.247086339793516,0.167365916524246,0.243643355571769,0.134095653217179,-0.098984262361803,0.010345693369701,0.372240172588037,-0.446403812333,-0.0978696906267363,-0.678852238972703,-0.0248594978647341,0.256931218807588,0.436169187031744,-0.236769189488704,-0.236827623632617,-0.145704544061134,-0.288941096208818,0.0112426006862292,0.0158218553129473,-0.76182859092342,0.293582114958205,0.3817342356972,0.383098947337803,0.521436408068459,0.133599960790074,0.592151251016322,0.116642834585046,-0.206791447192931,-0.821556446616543,0.0431087107584343,-0.188553280807119,0.771986904635518,0.332542628450514,-0.229215233679266,-0.392661658966476,-0.0386984054104341,-0.884996034525469,-0.10097684200306,0.0234917897368241,0.487980434383829,0.0358106259861635,-0.0418314366954286,0.638121891448532,0.0694805740030409,0.143198781243735,0.0647414922642221,-0.457038199022777,-0.15050503269943,0.0901891119914968,0.176252473658414,0.303434510892298,-0.1645140706074,-0.0696497559778003,0.183158117777141,-0.100936298208321
"hsa-let-7d-3p",0.567668326624803,0.229922633003606,0.597604484885546,-0.343204795007807,0.212265806388831,0.0157696105835231,-0.199104778237536,0.320982030258577,0.452055702230166,0.289809550791142,-0.422438103891191,-0.50950154719714,-0.0946941158996437,-0.380226611123165,-0.354119290033331,0.396265270850651,-0.106090868741632,-0.208294197146827,-0.11579824563489,-0.324881554930285,0.343802258017267,-0.580918703269212,0.00934567612446562,-0.315892237910978,0.323675024239674,-0.157296838962682,-0.301426769238789,-0.0603638826025554,0.769180901301612,-0.0785162075991287,0.522360056119973,0.680910813890482,0.447678675250743,0.295199570324849,0.346885583194711,-0.497805182773109,-0.646309111844978,0.173354645911888,-0.382710165786632,-0.204754209916164,-0.186864285276344,-0.147167261693784,0.0427654578886041,-0.54949520465182,0.0370430120538893,0.434175462923275,-0.0657335085277134,-0.171364683851238,-0.615492150763324,0.00998094235035599,0.163972200814107,-0.274681368827828,-0.323619626591735,0.234064563482485,0.164499565012911,-0.120655230978387,-0.176358065960158,0.321331446913139
"hsa-let-7d-5p",0.270526166793993,-0.153156501497166,0.102583542174266,-0.103309952140852,0.434914425208981,0.121346025830314,-0.335584635238037,-0.000855111519330688,0.22687840861269,0.258073384013575,-0.559817427625671,-0.347998657485346,-0.7533892430603,-0.00743340031604608,0.270431770700124,0.364194443791229,0.113190793639799,-0.0611171907684054,-0.189703996773099,-0.30456592849412,0.133392350583897,-0.152826415939996,-0.685184144903591,-0.0302971482749847,0.537436679610657,-0.169919294392152,0.159918783601433,0.118058199691205,0.510466071869915,0.176322573552717,-0.0240208004250984,-0.141993289757667,0.255553136344686,0.143087953833597,0.511126834367381,0.219651970474571,-0.464235755347093,-0.197141146492029,-0.226988980112662,-0.506356638235793,-0.156492405588959,0.0354519001072763,0.316617993240655,-0.314722574394904,-0.0290287280154873,0.489603509219014,-0.127056748969917,0.0138774022659908,-0.426305423211975,-0.147001120348831,0.00800691071780523,-0.0947029074126111,-0.0618591368801602,0.115501019164939,-0.1070655486407,-0.0561596464346405,-0.0494981969716702,0.193124721011907
"hsa-let-7e-3p",0.436087524173974,-0.42568864536843,0.183052634840129,0.667744255513907,0.388236917400152,-0.0885902520098415,1.27139788362267,0.104707163063674,0.723710387306973,0.33092162967584,-0.457637175215695,-0.183748773308196,0.183917967802468,-0.0139124817309089,-1.04436837709503,-1.20530274683288,-0.302540480965898,-0.642073476447896,-0.0981137875063173,0.15608258041922,0.310975745815523,-1.01548527223656,0.963529458711604,0.60307140040375,0.922457105841016,-0.202340669324329,-0.452451483870053,0.38991497085752,-0.65894147919033,0.131745511503144,0.963407340238434,0.428977171508478,0.669379032814424,0.190541948188221,-0.0631194371072139,-1.60860268775909,-0.227154374097053,0.926576265071776,-0.164130984859583,-1.14688601920658,-0.238618184875686,-0.320807344264568,0.266637672126632,-0.595010174196892,0.349375550577556,0.322431823424696,-0.85673823984721,-0.208647831951321,-0.404157479561088,-0.610190828860583,0.487837288568909,-0.000600095433950787,0.413682438053684,0.408807798575243,0.351389567506231,1.20190300301822,-0.980191047034697,0.164558535570551
"hsa-let-7e-5p",0.795482284644935,-0.375061091882997,0.036840950563152,-0.161072086800335,0.357956363269407,-0.0680863069287393,0.514067770622624,0.041352139935636,0.824766271979141,0.280111987472642,-0.212485119544147,-0.895125412378264,-0.388907991949038,-0.141862643247421,-0.536249388734235,0.398024640957497,-0.413796435591376,-0.070640628336395,-0.40806709320821,-0.375892249385689,0.223025018672549,0.202535456923689,0.252647301559561,-0.227354005875121,0.0887456230729692,-0.432863334686286,-0.478271419754792,-0.287880920149238,-0.0426830618229183,0.00977324720757532,0.674752731070049,0.207262919258136,0.504819136332007,-0.18122649342929,0.00846394905292087,-0.716990131342091,0.0254428329410753,0.189220004747692,-0.0773326007412247,-0.860014505475143,-0.151271471013552,0.299153418455607,0.753940834806104,-0.485339001516745,-0.1848972198295,0.334543618996813,0.188412371820274,-0.283915142448838,-0.265471733561455,0.314863371375092,-0.200755718368046,-0.181100944708418,0.490513218528624,0.0846257475822845,0.272019974058069,0.736103056589483,-0.346228188781409,0.275985238313534
"hsa-let-7f-1-3p",-0.785293600742907,1.32808761822008,1.00488492631758,-0.617561986748797,-0.38647503579558,-0.0433483316428147,-0.0152533814179682,0.0984212020844681,-1.02280122582146,-0.0313794345553773,0.132193632227745,-1.41626811869833,0.0773254547875625,-0.123821761377197,-0.391859095929317,-1.38372500282282,-0.0829787338255557,0.223279960346224,0.401039457237081,0.820689808544056,0.259494374013332,0.791367925365986,0.885315494304955,-0.0768262865145273,-0.281827637679423,-0.388987303130562,-0.86113720664929,-0.778180057517204,-0.378406034000035,-0.35039283910499,-0.374229249845677,0.233406330877164,-1.60822633188688,0.183771762597797,0.976168444866789,0.0464193739072317,0.306003432734413,0.0136426491451731,-0.399577700715302,0.913342693987129,0.758971140198162,-0.0311907306482276,0.0887575267329427,0.408420245983263,0.120183760841707,-0.000836724674164305,0.269123025578638,0.170238827573695,-0.0140460141758568,0.260612867828857,0.18302841643889,0.150158986619761,0.088728225191091,0.247024537340008,-0.272176728130869,0.643172871748846,0.47253672429934,0.012472969938325
